TimeStamp	XROriginPos	XROriginRot	XRHeadPos	XRHeadRot	HandLPos	HandLRot	HandRPos	HandRRot	CollisionCount	FrameCount	ReportedEventsCount	
638134327015207073	(0.67709, 1.07746, -1.50045)	(-0.09665, -0.95672, 0.14501, -0.23305)	(0.12230, 2.64016, -1.10107)	(0.04535, 0.43912, -0.05720, -0.89546)	(0.67709, 1.07746, -1.50045)	(-0.09665, -0.95672, 0.14501, -0.23305)	(0.67709, 1.07746, -1.50045)	(-0.09665, -0.95672, 0.14501, -0.23305)	0	770	0	
638134327015437066	(0.67709, 1.07746, -1.50045)	(-0.09665, -0.95672, 0.14501, -0.23305)	(0.08570, 2.64617, -1.12573)	(0.04231, 0.43690, -0.05625, -0.89675)	(0.67709, 1.07746, -1.50045)	(-0.09665, -0.95672, 0.14501, -0.23305)	(0.67709, 1.07746, -1.50045)	(-0.09665, -0.95672, 0.14501, -0.23305)	0	772	0	
638134327015657072	(0.67709, 1.07746, -1.50045)	(-0.09665, -0.95672, 0.14501, -0.23305)	(0.08605, 2.64565, -1.12339)	(0.04053, 0.43953, -0.05614, -0.89555)	(0.67709, 1.07746, -1.50045)	(-0.09665, -0.95672, 0.14501, -0.23305)	(0.67709, 1.07746, -1.50045)	(-0.09665, -0.95672, 0.14501, -0.23305)	0	774	0	
638134327015767081	(0.67709, 1.07746, -1.50045)	(-0.09665, -0.95672, 0.14501, -0.23305)	(0.09095, 2.64500, -1.12034)	(0.04069, 0.43992, -0.05480, -0.89544)	(0.67709, 1.07746, -1.50045)	(-0.09665, -0.95672, 0.14501, -0.23305)	(0.67709, 1.07746, -1.50045)	(-0.09665, -0.95672, 0.14501, -0.23305)	0	775	0	
638134327015987193	(0.67709, 1.07746, -1.50045)	(-0.09665, -0.95672, 0.14501, -0.23305)	(0.09003, 2.64536, -1.12091)	(0.04053, 0.44015, -0.05468, -0.89534)	(0.67709, 1.07746, -1.50045)	(-0.09665, -0.95672, 0.14501, -0.23305)	(0.67709, 1.07746, -1.50045)	(-0.09665, -0.95672, 0.14501, -0.23305)	0	777	0	
638134327016337184	(0.67709, 1.07746, -1.50045)	(-0.09665, -0.95672, 0.14501, -0.23305)	(0.08913, 2.64574, -1.12145)	(0.04053, 0.44018, -0.05467, -0.89533)	(0.67709, 1.07746, -1.50045)	(-0.09665, -0.95672, 0.14501, -0.23305)	(0.67709, 1.07746, -1.50045)	(-0.09665, -0.95672, 0.14501, -0.23305)	0	779	0	
638134327016387205	(0.67709, 1.07746, -1.50045)	(-0.09665, -0.95672, 0.14501, -0.23305)	(0.08870, 2.64592, -1.12170)	(0.04043, 0.44007, -0.05456, -0.89539)	(0.67709, 1.07746, -1.50045)	(-0.09665, -0.95672, 0.14501, -0.23305)	(0.67709, 1.07746, -1.50045)	(-0.09665, -0.95672, 0.14501, -0.23305)	0	780	0	
638134327016657186	(0.67709, 1.07746, -1.50045)	(-0.09665, -0.95672, 0.14501, -0.23305)	(0.09059, 2.64313, -1.11785)	(0.03938, 0.44117, -0.05378, -0.89495)	(0.67709, 1.07746, -1.50045)	(-0.09665, -0.95672, 0.14501, -0.23305)	(0.67709, 1.07746, -1.50045)	(-0.09665, -0.95672, 0.14501, -0.23305)	0	783	0	
638134327016767177	(0.67709, 1.07746, -1.50045)	(-0.09665, -0.95672, 0.14501, -0.23305)	(0.09014, 2.64315, -1.11796)	(0.03928, 0.44116, -0.05368, -0.89496)	(0.67709, 1.07746, -1.50045)	(-0.09665, -0.95672, 0.14501, -0.23305)	(0.67709, 1.07746, -1.50045)	(-0.09665, -0.95672, 0.14501, -0.23305)	0	784	0	
638134327016987304	(0.67709, 1.07746, -1.50045)	(-0.09665, -0.95672, 0.14501, -0.23305)	(0.09520, 2.64212, -1.11449)	(0.03959, 0.44140, -0.05255, -0.89489)	(0.67709, 1.07746, -1.50045)	(-0.09665, -0.95672, 0.14501, -0.23305)	(0.67709, 1.07746, -1.50045)	(-0.09665, -0.95672, 0.14501, -0.23305)	0	786	0	
